vehicle_id,time_step,lane,position,velocity,lane_change_action
flow_1012.6,0,0,35.172584996618085,7.983066960786489,0
flow_1012.6,1,0,35.92385346722388,8.053907274933447,0
flow_1012.6,2,0,36.6816267647075,8.123641696865583,0
flow_1012.6,3,0,37.44578989324713,8.192143316248156,0
flow_1012.6,4,0,38.216217399488876,8.25930002403242,0
flow_1012.6,5,0,38.99277465094629,8.325013416138674,0
flow_1012.6,6,0,39.77531902304752,8.38919781412128,0
flow_1012.6,7,0,40.563701003802166,8.451779382017978,0
flow_1012.6,8,0,41.357765223466636,8.512695322303436,0
flow_1012.6,9,0,42.15735141528176,8.571893136954628,0
flow_1012.6,10,0,42.96229531229134,8.629329942212458,0
flow_1012.6,11,0,43.77242948438688,8.684971827782416,0
flow_1012.6,12,0,44.587584119029444,8.738793253029185,0
flow_1012.6,13,0,45.40758774854681,8.790776474242756,0
flow_1012.6,14,0,46.2322679264712,8.840910998331857,0
flow_1012.6,15,0,47.061451855049285,8.889193059370504,0
flow_1012.6,16,0,47.89496696580585,8.935625115314796,0
flow_1012.6,17,0,48.73264145486125,8.98021536294383,0
flow_1012.6,18,0,49.57430477457712,9.022977269681274,0
flow_1012.6,19,0,50.419788083025054,9.063929121440086,0
flow_1012.6,20,0,51.26892465272873,9.103093586017154,0
flow_1012.6,21,0,52.12155024011348,9.140497291860457,0
flow_1012.6,22,0,52.977503417101026,9.176170422250763,0
flow_1012.6,23,0,53.83662586630574,9.210146325093397,0
flow_1012.6,24,0,54.69876264131557,9.242461138613061,0
flow_1012.6,25,0,55.56376239357331,9.273153433294864,0
flow_1012.6,26,0,56.43147756740663,9.302263870425836,0
flow_1012.6,27,0,57.30176456478641,9.329834877570473,0
flow_1012.6,28,0,58.17339139555712,9.344198443082227,0
flow_1012.6,29,0,59.045783059373925,9.352397768190505,0
flow_1012.6,30,0,59.91863749506903,9.357358873232142,0
flow_1012.6,31,0,60.79179073327909,9.360562159198826,0
flow_1012.6,32,0,61.665157581992794,9.362852151733474,0
flow_1012.6,33,0,62.53870137421911,9.3647490590301,0
flow_1012.6,34,0,63.412416836737094,9.366589435227224,0
flow_1012.6,35,0,64.28631960659716,9.368597447041843,0
flow_1012.6,36,0,65.1604370244215,9.37089856158166,0
flow_1012.6,37,0,66.03479535689833,9.373481265832103,0
flow_1012.6,38,0,66.90941961909094,9.376332141859045,0
flow_1012.6,39,0,67.78433342596978,9.379436180090424,0
flow_1012.6,40,0,68.65955887066167,9.382777065736379,0
flow_1012.6,41,0,69.53511642702777,9.386337439602416,0
flow_1012.6,42,0,70.41102487430449,9.390099134612989,0
flow_1012.6,43,0,71.28730124166754,9.394043389398071,0
flow_1012.6,44,0,72.16396077070746,9.398151040307898,0
flow_1012.6,45,0,73.04101689393056,9.402402693215116,0
flow_1012.6,46,0,73.91848122752518,9.406778876443123,0
flow_1012.6,47,0,74.79636357675432,9.411260176127236,0
flow_1012.6,48,0,75.67467195245433,9.415827355274558,0
flow_1012.6,49,0,76.55341259723241,9.420461457741,0
flow_1012.6,50,1,77.43259002006509,9.425143898291973,1
flow_1012.6,51,1,78.33023873002647,9.623163700272169,0
flow_1012.6,52,1,79.24635872711657,9.821183502252367,0
flow_1012.6,53,1,80.18095001133538,10.019203304232565,0
flow_1012.6,54,1,81.13401258268291,10.217223106212764,0
flow_1012.6,55,1,82.10554644115915,10.415242908192962,0
flow_1012.6,56,1,83.0955515867641,10.61326271017316,0
flow_1012.6,57,1,84.10402801949776,10.811282512153358,0
flow_1012.6,58,1,85.13097573936015,11.009302314133556,0
flow_1012.6,59,1,86.17639474635124,11.207322116113755,0
flow_1012.6,60,1,87.24028504047104,11.405341918093953,0
flow_1012.6,61,1,88.32264662171956,11.603361720074151,0
flow_1012.6,62,1,89.42347949009678,11.80138152205435,0
flow_1012.6,63,1,90.54278364560273,11.999401324034547,0
flow_1012.6,64,1,91.68055908823739,12.197421126014746,0
flow_1012.6,65,1,92.83680581800076,12.395440927994944,0
flow_1012.6,66,1,94.01152383489283,12.593460729975142,0
flow_1012.6,67,1,95.20471313891362,12.79148053195534,0
flow_1012.6,68,1,96.41637373006313,12.989500333935538,0
flow_1012.6,69,1,97.64650560834134,13.187520135915737,0
flow_1012.6,70,1,98.89510877374828,13.385539937895935,0
flow_1012.6,71,1,100.16218322628393,13.583559739876133,0
flow_1012.6,72,1,101.44772896594829,13.781579541856331,0
flow_1012.6,73,1,102.75174599274135,13.97959934383653,0
flow_1012.6,74,1,104.07423430666314,14.177619145816728,0
flow_1012.6,75,1,105.41519390771363,14.375638947796926,0
flow_1012.6,76,1,106.7744578933223,14.571869485513213,0
flow_1012.6,77,1,108.1516601421602,14.764175051864223,0
flow_1012.6,78,1,109.54642112861923,14.952411947459519,0
flow_1012.6,79,1,110.95834797421828,15.136437024003582,0
flow_1012.6,80,1,112.38703452696141,15.316107983952849,0
flow_1012.6,81,1,113.83206146760187,15.491283668958676,0
flow_1012.6,82,1,115.29299644145374,15.66182433374634,0
flow_1012.6,83,1,116.76939421408161,15.827591902099746,0
flow_1012.6,84,1,118.2607968488952,15.988450201689323,0
flow_1012.6,85,1,119.76673390438167,16.14426517459789,0
flow_1012.6,86,1,121.28672264843127,16.294905060566226,0
flow_1012.6,87,1,122.82026828695354,16.440240550196048,0
flow_1012.6,88,1,124.36686420374899,16.580144905611608,0
flow_1012.6,89,1,125.92599220839621,16.714494046389447,0
flow_1012.6,90,1,127.4971227887431,16.843166598916195,0
flow_1012.6,91,1,129.07971536445544,16.966043907722423,0
